A,W,MT,ID
8,1,649,3
8,1,422,3
8,1,400,3
8,1,442,3
8,1,443,3
8,2,512,2
8,2,553,2
8,2,464,2
8,2,500,2
8,2,442,2
8,4,510,2
8,4,546,2
8,4,460,2
8,4,535,2
8,4,462,2
16,4,502,2
16,4,561,2
16,4,465,2
16,4,595,2
16,4,474,2
16,2,552,3
16,2,603,3
16,2,531,3
16,2,605,3
16,2,505,3
32,2,574,4
32,2,576,4
32,2,534,4
32,2,607,4
32,2,538,4
32,1,544,5
32,1,550,5
32,1,495,5
32,1,532,5
32,1,550,5
32,4,491,3
32,4,540,3
32,4,481,3
32,4,567,3
32,4,452,3
16,1,485,4
16,1,572,4
16,1,455,4
16,1,556,4
16,1,471,4
